FID,x,y
0,121.435572805999996,31.198185957300002
1,121.435515202999994,31.198246593499999
2,121.435697820000001,31.198338225000001
3,121.435395392000004,31.198371028099999
4,121.435286192999996,31.198480907099999
5,121.435171189000002,31.198671279199999
6,121.435986731000000,31.198714707000001
7,121.436223720000001,31.198846689200000
8,121.436211732000004,31.198989354399998
9,121.440217933000000,31.199031257200001
10,121.435183996000006,31.199032500300000
11,121.435563493999993,31.199053856700001
12,121.436242663000002,31.199067743600001
13,121.436272901999999,31.199092742500000
14,121.436021169000000,31.199118975600001
15,121.436343704999999,31.199196186000002
16,121.440087665999997,31.199216597200000
17,121.440684718000000,31.199237084699998
18,121.435183963000000,31.199253175199999
19,121.435127156999997,31.199340200700000
20,121.435144328999996,31.199349997599999
21,121.435612129000006,31.199400117000000
22,121.441152915999993,31.199440674500000
23,121.436554540000003,31.199473268599998
24,121.434878021000003,31.199536014600000
25,121.434514031999996,31.199558940399999
26,121.435581389999996,31.199599507500000
27,121.441028059999994,31.199617506399999
28,121.441028059999994,31.199617506399999
29,121.441028059999994,31.199617506399999
30,121.439855488999996,31.199620702299999
31,121.441618922000004,31.199647951300001
32,121.434644070999994,31.199715723800001
33,121.436740318999995,31.199727490299999
34,121.439780924000004,31.199745775899999
35,121.434783125999999,31.199761587499999
36,121.434783125999999,31.199761587499999
37,121.434783125999999,31.199761587499999
38,121.435458345000001,31.199783016700000
39,121.434267141000007,31.199815790900001
40,121.434267141000007,31.199815790900001
41,121.435095755000006,31.199834312200000
42,121.441217698000003,31.199836877900001
43,121.442086040000007,31.199853362900001
44,121.436835494999997,31.199854171300000
45,121.434482126000006,31.199871173300000
46,121.434482126000006,31.199871173300000
47,121.434482126000006,31.199871173300000
48,121.440764837000003,31.199873568400001
49,121.441821695000002,31.199915952400001
50,121.440846829999998,31.199937280000000
51,121.440846829999998,31.199937280000000
52,121.440846829999998,31.199937280000000
53,121.434718611999998,31.199944938800002
54,121.434718611999998,31.199944938800002
55,121.434718611999998,31.199944938800002
56,121.435640792000001,31.199958729599999
57,121.436927780000005,31.199987642100002
58,121.440916059000003,31.199996469399998
59,121.442803019999999,31.199998254000000
60,121.434955101000000,31.200018704800002
61,121.434955101000000,31.200018704800002
62,121.434955101000000,31.200018704800002
63,121.434955101000000,31.200018704800002
64,121.439620934999994,31.200024140400000
65,121.439653466999999,31.200027745400000
66,121.439587489000004,31.200027997399999
67,121.442551273000007,31.200061848200001
68,121.440017299999994,31.200070213400000
69,121.435449591999998,31.200092898800001
70,121.435449591999998,31.200092898800001
71,121.435449591999998,31.200092898800001
72,121.435238366999997,31.200093861199999
73,121.436551535999996,31.200102324100001
74,121.439588921999999,31.200117762400001
75,121.442317875000001,31.200118966100000
76,121.434310109999998,31.200146078900001
77,121.434310109999998,31.200146078900001
78,121.434310109999998,31.200146078900001
79,121.434362409000002,31.200158178900001
80,121.437102175999996,31.200189798899999
81,121.435320579999996,31.200221104299999
82,121.435320579999996,31.200221104299999
83,121.435320579999996,31.200221104299999
84,121.436062719000006,31.200222609299999
85,121.437130163999996,31.200227298100000
86,121.440442462999997,31.200229426600000
87,121.441664031000002,31.200232342800000
88,121.441664031000002,31.200232342800000
89,121.441664031000002,31.200232342800000
90,121.443363097000002,31.200235614200000
91,121.432322907000000,31.200236380400000
92,121.441456742000000,31.200236753300000
93,121.441448037000001,31.200248034800001
94,121.440029605000007,31.200265988999998
95,121.440029605000007,31.200265988999998
96,121.440029605000007,31.200265988999998
97,121.432450551000002,31.200267813499998
98,121.443015051000003,31.200272677099999
99,121.434869079999999,31.200275401199999
100,121.434869079999999,31.200275401199999
101,121.434869079999999,31.200275401199999
102,121.432418327999997,31.200279185799999
103,121.435750576999993,31.200313543400000
104,121.435750576999993,31.200313543400000
105,121.435750576999993,31.200313543400000
106,121.434187182000002,31.200329427300002
107,121.432689780000004,31.200330669700001
108,121.439460951000001,31.200337503800000
109,121.440717762000006,31.200340640299999
110,121.440717762000006,31.200340640299999
111,121.440717762000006,31.200340640299999
112,121.442105084999994,31.200342306800000
113,121.439492422000001,31.200344631600000
114,121.441595222000004,31.200347342499999
115,121.435105570000005,31.200349169300001
116,121.435105570000005,31.200349169300001
117,121.435105570000005,31.200349169300001
118,121.442787469999999,31.200358443999999
119,121.432787704999996,31.200359937399998
